date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:04	13885/13885	---M--	200	added ('OK')	text/html	etag:%225c2ec67a480d61:e45%22	http://jinyongxiaoshuo.com/old_bixuejian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_bixuejian/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:05	0/0	---M--	200	added ('OK')	application/x-javascript	etag:%227a95dda2380d61:e45%22	http://jinyongxiaoshuo.com/js/app.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/app.18.delayed	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:05	28498/28498	---M--	200	added ('OK')	text/html	etag:%22be6beac7480d61:e45%22	http://jinyongxiaoshuo.com/old_shediaoyingxiongzhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_shediaoyingxiongzhuan/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:06	12203/12203	---M--	200	added ('OK')	text/html	etag:%228634ab36580d61:e45%22	http://jinyongxiaoshuo.com/old_xueshanfeihu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_xueshanfeihu/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:07	27600/27600	---M--	200	added ('OK')	text/html	etag:%22afaa45e2480d61:e45%22	http://jinyongxiaoshuo.com/old_shendiaoxialv/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_shendiaoxialv/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:07	15993/15993	---M--	200	added ('OK')	text/html	etag:%22fe7a686480d61:e45%22	http://jinyongxiaoshuo.com/old_feihuwaizhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_feihuwaizhuan/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:08	10725/10725	---M--	200	added ('OK')	text/html	etag:%22e85de52580d61:e45%22	http://jinyongxiaoshuo.com/old_yuanyangdao/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_yuanyangdao/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:08	27521/27521	---M--	200	added ('OK')	text/html	etag:%22f440f751580d61:e45%22	http://jinyongxiaoshuo.com/old_yitiantulongji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_yitiantulongji/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:09	10876/10876	---M--	200	added ('OK')	text/html	etag:%226e3f9b72480d61:e45%22	http://jinyongxiaoshuo.com/old_baimaxiaoxifeng/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_baimaxiaoxifeng/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:10	12295/12295	---M--	200	added ('OK')	text/html	etag:%229869b98b480d61:e45%22	http://jinyongxiaoshuo.com/old_lianchengjue/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_lianchengjue/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:10	16702/16702	---M--	200	added ('OK')	text/css	etag:%22e439f194380d61:e45%22	http://jinyongxiaoshuo.com/css/style2.css	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/style2.css	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:10	31848/31848	---M--	200	added ('OK')	text/html	etag:%2274a16bd580d61:e45%22	http://jinyongxiaoshuo.com/old_tianlongbabu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_tianlongbabu/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:12	14059/14059	---M--	200	added ('OK')	text/html	etag:%2224604916580d61:e45%22	http://jinyongxiaoshuo.com/old_xiakexing/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_xiakexing/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:12	24450/24450	---M--	200	added ('OK')	image/gif	etag:%22fc194f94380d61:e45%22	http://jinyongxiaoshuo.com/css/img/zhichi.gif	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/zhichi.gif	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:14	22567/22567	---M--	200	added ('OK')	text/html	etag:%22ae64412f580d61:e45%22	http://jinyongxiaoshuo.com/old_xiaoaojianghu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_xiaoaojianghu/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:14	28424/28424	---M--	200	added ('OK')	text/html	etag:%22b0a266ad480d61:e45%22	http://jinyongxiaoshuo.com/old_ludingji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_ludingji/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:16	85734/85734	---M--	200	added ('OK')	text/html	etag:%22f8b65682580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/373.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/373.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:17	9134/9134	---M--	200	added ('OK')	text/html	etag:%2296caa653580d61:e45%22	http://jinyongxiaoshuo.com/old_yuenvjian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_yuenvjian/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:17	14437/14437	---M--	200	added ('OK')	text/html	etag:%22e6885624480d61:e45%22	http://jinyongxiaoshuo.com/new_shujianenchoulu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_shujianenchoulu/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:19	83989/83989	---M--	200	added ('OK')	text/html	etag:%22a1fdd81580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/372.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/372.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:20	15207/15207	---M--	200	added ('OK')	image/jpeg	etag:%22164d492380d61:e45%22	http://jinyongxiaoshuo.com/css/img/shujianenchoulu.jpg	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/shujianenchoulu.jpg	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:20	94649/94649	---M--	200	added ('OK')	text/html	etag:%22d04b6881580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/371.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/371.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:20	13386/13386	---M--	200	added ('OK')	text/html	etag:%22fa7f60ce380d61:e45%22	http://jinyongxiaoshuo.com/new_bixuejian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_bixuejian/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:22	94225/94225	---M--	200	added ('OK')	text/html	etag:%22d48ce780580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/370.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/370.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:23	16044/16044	---M--	200	added ('OK')	text/html	etag:%22888077480d61:e45%22	http://jinyongxiaoshuo.com/new_shediaoyingxiongzhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_shediaoyingxiongzhuan/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:23	10992/10992	---M--	200	added ('OK')	text/html	etag:%22789d4b5b480d61:e45%22	http://jinyongxiaoshuo.com/new_xueshanfeihu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_xueshanfeihu/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:24	17870/17870	---M--	200	added ('OK')	text/html	etag:%22dc3a451a480d61:e45%22	http://jinyongxiaoshuo.com/new_shendiaoxialv/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_shendiaoxialv/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:25	90009/90009	---M--	200	added ('OK')	text/html	etag:%228c926b80580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/369.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/369.html	(from http://jinyongxiaoshuo.com/shujianenchoulu/)
08:29:25	12085/12085	---M--	200	added ('OK')	text/html	etag:%225ac2c3d7380d61:e45%22	http://jinyongxiaoshuo.com/new_feihuwaizhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_feihuwaizhuan/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
08:29:25	10851/10851	---M--	200	added ('OK')	text/html	etag:%2262c8586f480d61:e45%22	http://jinyongxiaoshuo.com/new_yuanyangdao/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/new_yuanyangdao/index.html	(from http://jinyongxiaoshuo.com/xinxiu/)
